algorithm,size,total_comparisons,sample_count
quick_sort,60,282,1
bubble_sort,61,1809,1
selection_sort,61,1830,1
insertion_sort,61,989,1
merge_sort,61,288,1
quick_sort,61,300,1
bubble_sort,62,1771,1
selection_sort,62,1891,1
insertion_sort,62,942,1
merge_sort,62,293,1
quick_sort,62,347,1
bubble_sort,63,1947,1
selection_sort,63,1953,1
insertion_sort,63,1218,1
merge_sort,63,294,1
quick_sort,63,326,1
bubble_sort,64,1880,1
selection_sort,64,2016,1
insertion_sort,64,920,1
merge_sort,64,309,1
quick_sort,64,334,1
bubble_sort,65,2079,1
selection_sort,65,2080,1
insertion_sort,65,1288,1
merge_sort,65,316,1
quick_sort,65,414,1
bubble_sort,66,2139,1
selection_sort,66,2145,1
insertion_sort,66,1202,1
merge_sort,66,318,1
quick_sort,66,420,1
bubble_sort,67,2156,1
selection_sort,67,2211,1
insertion_sort,67,1286,1
merge_sort,67,326,1
quick_sort,67,361,1
bubble_sort,68,2212,1
selection_sort,68,2278,1
insertion_sort,68,1067,1
merge_sort,68,335,1
quick_sort,68,421,1
bubble_sort,69,2301,1
selection_sort,69,2346,1
insertion_sort,69,1155,1
merge_sort,69,335,1
quick_sort,69,414,1
bubble_sort,70,2387,1
selection_sort,70,2415,1
insertion_sort,70,1418,1
merge_sort,70,345,1
quick_sort,70,407,1
bubble_sort,71,2479,1
selection_sort,71,2485,1
insertion_sort,71,1349,1
merge_sort,71,355,1
quick_sort,71,433,1
bubble_sort,72,2511,1
selection_sort,72,2556,1
insertion_sort,72,1263,1
merge_sort,72,357,1
quick_sort,72,423,1
bubble_sort,73,2607,1
selection_sort,73,2628,1
insertion_sort,73,1202,1
merge_sort,73,364,1
quick_sort,73,365,1
bubble_sort,74,2691,1
selection_sort,74,2701,1
insertion_sort,74,1497,1
merge_sort,74,367,1
quick_sort,74,371,1
bubble_sort,75,2760,1
selection_sort,75,2775,1
insertion_sort,75,1463,1
merge_sort,75,379,1
quick_sort,75,434,1
bubble_sort,76,2772,1
selection_sort,76,2850,1
insertion_sort,76,1543,1
merge_sort,76,374,1
quick_sort,76,431,1
bubble_sort,77,2835,1
selection_sort,77,2926,1
insertion_sort,77,1568,1
merge_sort,77,381,1
quick_sort,77,441,1
bubble_sort,78,2967,1
selection_sort,78,3003,1
insertion_sort,78,1524,1
merge_sort,78,393,1
quick_sort,78,563,1
bubble_sort,79,3045,1
selection_sort,79,3081,1
insertion_sort,79,1802,1
merge_sort,79,406,1
quick_sort,79,432,1
bubble_sort,80,3150,1
selection_sort,80,3160,1
insertion_sort,80,1517,1
merge_sort,80,415,1
quick_sort,80,474,1
bubble_sort,81,3069,1
selection_sort,81,3240,1
insertion_sort,81,1678,1
merge_sort,81,419,1
quick_sort,81,494,1
bubble_sort,82,3255,1
selection_sort,82,3321,1
insertion_sort,82,1654,1
merge_sort,82,417,1
quick_sort,82,473,1
bubble_sort,83,3232,1
selection_sort,83,3403,1
insertion_sort,83,1817,1
merge_sort,83,425,1
quick_sort,83,476,1
bubble_sort,84,3486,1
selection_sort,84,3486,1
insertion_sort,84,1905,1
merge_sort,84,423,1
quick_sort,84,614,1
bubble_sort,85,3534,1
selection_sort,85,3570,1
insertion_sort,85,1827,1
merge_sort,85,440,1
quick_sort,85,507,1
bubble_sort,86,3610,1
selection_sort,86,3655,1
insertion_sort,86,1981,1
merge_sort,86,455,1
quick_sort,86,491,1
bubble_sort,87,3675,1
selection_sort,87,3741,1
insertion_sort,87,1811,1
merge_sort,87,453,1
quick_sort,87,559,1
bubble_sort,88,3813,1
selection_sort,88,3828,1
insertion_sort,88,2166,1
merge_sort,88,452,1
quick_sort,88,568,1
bubble_sort,89,3663,1
selection_sort,89,3916,1
insertion_sort,89,1974,1
merge_sort,89,467,1
quick_sort,89,558,1
bubble_sort,90,3927,1
selection_sort,90,4005,1
insertion_sort,90,1936,1
merge_sort,90,473,1
quick_sort,90,509,1
bubble_sort,91,3942,1
selection_sort,91,4095,1
insertion_sort,91,2048,1
merge_sort,91,488,1
quick_sort,91,507,1
bubble_sort,92,4186,1
selection_sort,92,4186,1
insertion_sort,92,2165,1
merge_sort,92,490,1
quick_sort,92,667,1
bubble_sort,93,4257,1
selection_sort,93,4278,1
